Art_ID,Title,Image-Link,Artist,Dimensions,Date,Art Type,Description
s0149V1962,Wheatfield with Crows,"https://iiif.micr.io/QHzII/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",July 1890,"50.5 cm x 103 cm
              ",This painting is on display in the Musée d'Orsay exhibition Van Gogh in Auvers-sur-Oise: The Final Months until 4 February 2024.
s0274V1962,"Young Woman at a Table, 'Poudre de riz'","https://iiif.micr.io/gzrkN/full/900,/0/default.webp",Henri de Toulouse-Lautrec,"
                oil on canvas",1887,"56 cm x 46 cm
              ",No description available
s0507S2002,The Jetty of Boulogne-sur-Mer,"https://iiif.micr.io/eRPvZ/full/900,/0/default.webp",Edouard Manet,"
                oil on canvas",1868,"59.5 cm x 73.3 cm
              ",No description available
s0031V1962,Sunflowers,"https://iiif.micr.io/TZCqF/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",January 1889,"95 cm x 73 cm
              ","Van Gogh’s paintings of Sunflowers are among his most famous. He did them in Arles, in the south of France, in 1888 and 1889. Vincent painted a total of five large canvases with sunflowers in a vase, with three shades of yellow ‘and nothing else’. In this way, he demonstrated that it was possible to create an image with numerous variations of a single colour, without any loss of eloquence.The sunflower paintings had a special significance for Van Gogh: they communicated ‘gratitude’, he wrote. He hung the first two in the room of his friend, the painter Paul Gauguin, who came to live with him for a while in the Yellow House. Gauguin was impressed by the sunflowers, which he thought were ‘completely Vincent’. Van Gogh had already painted a new version during his friend’s stay and Gauguin later asked for one as a gift, which Vincent was reluctant to give him. He later produced two loose copies, however, one of which is now in the Van Gogh Museum."
s0047V1962,The Bedroom,"https://iiif.micr.io/ZKSPH/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",October 1888,"72.4 cm x 91.3 cm
              ",This painting is on view in the exhibition Matthew Wong | Vincent van Gogh until 1 September 2024.
s0050V1962,Irises,"https://iiif.micr.io/HVTVF/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",May 1890,"92.7 cm x 73.9 cm
              ","Van Gogh painted this still life in the psychiatric hospital in Saint-Rémy. For him, the painting was mainly a study in colour. He set out to achieve a powerful colour contrast. By placing the purple flowers against a yellow background, he made the decorative forms stand out even more strongly. The irises were originally purple. But as the red pigment has faded, they have turned blue. Van Gogh made two paintings of this bouquet. In the other still life, he contrasted purple and pink with green."
s0224V1962,Self-Portrait with Portrait of Emile Bernard (Les misérables),"https://iiif.micr.io/LJtwZ/full/900,/0/default.webp",Paul Gauguin,"
                oil on canvas",1888,"44.5 cm x 50.3 cm
              ","Van Gogh knew that Japanese printmakers often exchanged work with one another. The idea appealed to him, so he suggested that he, Paul Gauguin and Emile Bernard should do the same: ‘It clearly proves that they liked one another and stuck together, and that there was a certain harmony among them [. . .] The more we resemble them in that respect, the better it will be for us.’ His friends both sent self-portraits, with a likeness of the other artist in the background.Gauguin painted himself in the guise of Jean Valjean, the main character of Victor Hugo’s novel Les Misérables, equating the vibrant and loving fictional outcast with the misunderstood artists of his time. He wrote: ‘By doing him with my features, you have my individual image, as well as a portrait of us all, poor victims of society, taking our revenge on it by doing good’. The cheerful floral pattern on the wall was Gauguin’s way of testifying to ‘our artistic virginity’.Van Gogh was impressed by the portrait’s melancholy character. He described the shadows in Gauguin’s face as ‘lugubriously tinged with blue’ and noted that he looked ill and tormented.’"
s0508S2003,View Seen Through a Balcony,"https://iiif.micr.io/cFuKP/full/900,/0/default.webp",Gustave Caillebotte,"
                oil on canvas",1880,"65.6 cm x 54.9 cm
              ","The French artist Gustave Caillebotte painted the view from his Paris balcony in 1880. The real subject of the painting, though, is the balcony itself, the cast-iron curls of which form a decorative pattern that fills the picture plane. In the distance we make out Boulevard Hausmann with a carriage, an advertising column and passers-by.Caillebotte used dark colours to emphasize the centrality of the railing. It stands out sharply against the street scene, which he painted in pastel tones. The bold composition was inspired by Japanese prints, the abrupt cropping, high vantage points and solid colours of which made them an important source for artists looking for a modern style.Van Gogh was intrigued by Caillebotte’s work. The announcement of an exhibition prompted him to write to his brother Theo: ‘there’ll be some works by Caillebotte – I’ve never seen anything of his, and wanted to ask you to write and tell me what they’re like.’"
s0032V1962,The Yellow House (The Street),"https://iiif.micr.io/NyxcG/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",September 1888,"72 cm x 91.5 cm
              ","In May 1888, Van Gogh rented four rooms in a house on Place Lamartine in Arles (southern France). The green shutters in this painting of the square show where he lived. Shortly after moving into the ‘Yellow House’, he sent Theo a description and sketch of his painting of it: ‘it’s tremendous, these yellow houses in the sunlight and then the incomparable freshness of the blue.’The work, which Van Gogh himself called ‘The Street’, records the artist’s immediate surroundings: he often ate at the restaurant on the left, and the home of his friend, the postman Joseph Roulin, lay just beyond the second railway bridge.Vincent had finally found a place at the Yellow House where he could not only paint but also have his friends come to stay. His plan was to turn the yellow corner-building into an artists’ house, where like-minded painters could live and work together."
s0195V1962,Tree Roots,"https://iiif.micr.io/giZUM/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",July 1890,"50.3 cm x 100.1 cm
              ",This painting is on display in the Musée d'Orsay exhibition Van Gogh in Auvers-sur-Oise: The Final Months until 4 February 2024.
s0206V1962,Self-Portrait with Portrait of Gauguin,"https://iiif.micr.io/iXnxI/full/900,/0/default.webp",Emile Bernard,"
                oil on canvas",1888,"46 cm x 56 cm
              ","Bernard painted this self-portrait in the French seaside village of Pont-Aven. He was working there with Paul Gauguin (shown in the background of the picture). A Japanese woodcut print is visible at bottom right.Van Gogh had asked his two friends to make portraits of each other. But Bernard didn’t dare: he was only 20 and intimidated by Gauguin, who was twice his age. So each of them sent a self-portrait featuring a sketch of the other. Beside his signature, Bernard wrote a dedication to his friend (‘copain’) Van Gogh. The added ‘g’ at the end of ‘copain’ was a joke about the local accent in Provence, where Van Gogh was living."
s0424M1991,Haymaking,"https://iiif.micr.io/sbzXD/full/900,/0/default.webp",Léon-Augustin Lhermitte,"
                oil on canvas",1887,"215.9 cm x 265.8 cm
              ","This enormous painting by the French artist Léon Lhermitte shows a family of peasants resting during haymaking. The work probably has a symbolic element too, evoking youth, maturity and old age. The old man at the front holds a scythe, a traditional symbol of approaching death. This kind of symbolism and the emphasis on the romantic, idyllic side of peasant life made works of this type extremely popular in the late nineteenth century. The Haymakers won the Grand Prix at the 1889 World Exhibition in Paris.Lhermitte became a famous painter of rural life. According to Vincent van Gogh, the French artist’s secret was ‘that he knows the figure in general – namely the sturdy, severe workman’s figure – through and through, and takes his subjects from the heart of the people.’Van Gogh too hoped to establish himself as a painter of peasant life, and so Lhermitte’s work was an important source of inspiration to him. He regularly asked his brother Theo to send him reproductions of Lhermitte’s paintings."
s0019V1962,Garden with Courting Couples: Square Saint-Pierre,"https://iiif.micr.io/wTQHw/full/900,/0/default.webp",Vincent van Gogh,"
                oil on canvas",May 1887,"75.0 cm x 113.0 cm
              ","Van Gogh called this sunny park scene 'the painting of the garden with lovers'. Couples in love are strolling under the young chestnut trees and sitting along the winding paths.He used a free variation on the technique of the Pointillists. They built up their compositions from dots of paint. Van Gogh instead applied small brushstrokes of varying length in different directions. This helped him to create the effect of a radiant spring day, which fit the sense of intimacy and togetherness he wished to express. He too longed for a wife and a family, but he had 'the most impossible love affairs'. He eventually resigned himself to the situation; he was devoted to his art."
s0225V1962,Vincent van Gogh Painting Sunflowers,"https://iiif.micr.io/iWYqT/full/900,/0/default.webp",Paul Gauguin,"
                oil on canvas",1888,"73 cm x 91 cm
              ","Was Van Gogh really painting a vase of sunflowers when his friend Gauguin produced this portrait of him? No, he can’t have been: it was December and far too late in the year for sunflowers. But it’s quite probable that Van Gogh painted a copy of one of his own sunflower pictures around this time. The landscape in the background is also fictional: unlike Van Gogh, Gauguin liked to work from his imagination. They often argued about this. This painting refers to their disagreement. Later, Van Gogh wrote about this portrait: ‘My face has lit up a lot since, but it was indeed me, extremely tired and charged with electricity as I was then.’"
